concessionaria_ped;praca_de_pedagio;rodovia_ped;uf_ped;km_m_ped;municipio_ped;sentido_ped;situacao_ped;latitude_ped;longitude_ped;concessionaria_rad;tipo_de_radar;rodovia_rad;uf_rad;km_m_rad;municipio;tipo_pista;sentido_rad;situacao_rad;latitude_rad;longitude_rad;velocidade_leve;velocidade_pesado;UF_rod;extencao_km_federal
ECOVIAS RIO MINAS;P06 Itaguaí;BR-493;RJ;112,7;Itaguaí;Crescente/Decrescente;Ativo;-22,820833;-43,805;AUTOPISTA PLANALTO SUL;Controlador;BR-116;PR;128,9;Fazenda Rio Grande;Principal;Crescente;Ativo;-25,6632;-49,31373;80;80;;
ECOVIAS RIO MINAS;P07 Magé;BR-116;RJ;118,2;Magé;Crescente/Decrescente;Ativo;-22,607222;-43,028611;AUTOPISTA PLANALTO SUL;Controlador;BR-116;PR;120,598;Curitiba;Principal;Decrescente;Ativo;-25,59155;-49,31524;80;80;;
ECOVIAS RIO MINAS;P08 Guapimirim;BR-493;RJ;13,86;Guapimirim;Crescente/Decrescente;Ativo;-22,67;-42,98;AUTOPISTA PLANALTO SUL;Redutor;BR-116;SC;117,85;Santa Cecília;Principal;Decrescente;Ativo;-26,82099;-50,35411;60;60;;
ECOVIAS RIO MINAS;P09 Leopoldina;BR-116;MG;784,32;Leopoldina;Crescente/Decrescente;Ativo;-21,638611;-42,710277;AUTOPISTA PLANALTO SUL;Controlador;BR-116;SC;173,15;São Cristóvão do Sul;Principal;Decrescente;Ativo;-27,21903;-50,46413;80;80;;
ECOVIAS RIO MINAS;P10 Laranjal;BR-116;MG;724,02;Laranjal;Crescente/Decrescente;Ativo;-21,278333;-42,412222;AUTOPISTA PLANALTO SUL;Controlador;BR-116;SC;117,32;Santa Cecília;Principal;Crescente;Ativo;-26,81786;-50,35105;60;60;;
ECOVIAS RIO MINAS;P11 São Francisco do Glória;BR-116;MG;664;São Francisco do Glória;Crescente/Decrescente;Ativo;-20,823611;-42,321111;AUTOPISTA PLANALTO SUL;Controlador;BR-116;PR;206,9;Rio Negro;Principal;Decrescente;Ativo;-26,07575;-49,76258;60;60;;
ECOVIAS RIO MINAS;P12 São João do Manhuaçu;BR-116;MG;610,94;São João do Manhuaçu;Crescente/Decrescente;Ativo;-20,430277;-42,163055;AUTOPISTA PLANALTO SUL;Redutor;BR-116;PR;206,07;Rio Negro;Principal;Crescente;Ativo;-26,07462;-49,7558;60;60;;
ECOVIAS RIO MINAS;P13 Santa Bárbara do Leste;BR-116;MG;551,88;Santa Bárbara do Leste;Crescente/Decrescente;Ativo;-19,991666;-42,143611;AUTOPISTA PLANALTO SUL;Controlador;BR-116;SC;172,5;Ponte Alta do Norte;Principal;Crescente;Ativo;-27,21353;-50,46549;80;80;;
ECOVIAS RIO MINAS;P14 Inhapim;BR-116;MG;488,7;Inhapim;Crescente/Decrescente;Ativo;-19,468055;-42,133888;AUTOPISTA PLANALTO SUL;Redutor;BR-116;SC;53,3;Papanduva;Principal;Crescente;Ativo;-26,3936;-50,15647;60;60;;
ECOVIAS RIO MINAS;P15 Engenheiro Caldas;BR-116;MG;433,6;Engenheiro Caldas;Crescente/Decrescente;Ativo;-19,027777;-41,989444;AUTOPISTA PLANALTO SUL;Redutor;BR-116;SC;105,28;Monte Castelo;Principal;Decrescente;Ativo;-26,75312;-50,31692;60;60;;
ELOVIAS;P1;BR-40;RJ;101,825;Duque de Caxias;Crescente/Decrescente;Ativo;-22,610206;-43,285708;AUTOPISTA PLANALTO SUL;Redutor;BR-116;SC;69,44;Monte Castelo;Principal;Decrescente;Ativo;-26,46453;-50,22991;60;60;;
ELOVIAS;P2;BR-40;RJ;45,819;Petrópolis;Crescente/Decrescente;Ativo;-22,284389;-43,120269;AUTOPISTA PLANALTO SUL;Redutor;BR-116;SC;308,42;Capão Alto;Principal;Crescente;Ativo;-28,198181;-50,755152;60;60;;
ELOVIAS;P3;BR-40;MG;819,379;Simão Pereira;Crescente/Decrescente;Ativo;-21,928252;-43,316282;AUTOPISTA PLANALTO SUL;Redutor;BR-116;PR;134,4;Fazenda Rio Grande;Principal;Crescente;Ativo;-25,714464;-49,318562;40;40;;
EPR IGUAÇU;P02 PRUDENTROPOLIS;BR-277;PR;308,29;Prudentópolis;Crescente/Decrescente;Ativo;-25,309611;-51,168325;AUTOPISTA PLANALTO SUL;Redutor;BR-116;PR;134,4;Fazenda Rio Grande;Principal;Decrescente;Ativo;-25,714794;-49,317855;40;40;;
EPR IGUAÇU;P03 CANDOI;BR-277;PR;393,04;Candói;Crescente/Decrescente;Ativo;-25,443731;-51,859064;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;361,52;Miracatu;Principal;Crescente;Ativo;-24,121953;-47,270639;60;60;;
EPR IGUAÇU;P04 LARANJEIRAS DO SUL;BR-277;PR;468,11;Laranjeiras do Sul;Crescente/Decrescente;Ativo;-25,346486;-52,491192;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;360,04;Miracatu;Principal;Crescente;Ativo;-24,113081;-47,268627;60;60;;
EPR IGUAÇU;P05 CASCAVEL;BR-277;PR;571,34;Cascavel;Crescente/Decrescente;Ativo;-25,021742;-53,278772;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;357,5;Miracatu;Principal;Crescente;Ativo;-24,102768;-47,258911;60;60;;
EPR IGUAÇU;P06 CÉU AZUL;BR-277;PR;615,34;Céu Azul;Crescente/Decrescente;Ativo;-25,084119;-53,713553;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;356,5;Miracatu;Principal;Crescente;Ativo;-24,095474;-47,256386;60;60;;
EPR IGUAÇU;P07 SÃO MIQUEL DO IGUAÇU;BR-277;PR;706,07;São Miguel do Iguaçu;Crescente/Decrescente;Ativo;-25,426994;-54,364086;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;351,78;Miracatu;Principal;Crescente;Ativo;-24,064698;-47,233601;60;60;;
LITORAL PIONEIRO;P01 SÃO JOSÉ DOS PINHAIS;BR-277;PR;60,25;São José dos Pinhais;Crescente/Decrescente;Ativo;-25,55;-49,04;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;PR;40,05;Campina Grande do Sul;Principal;Crescente;Ativo;-25,167022;-48,865032;60;60;;
LITORAL PIONEIRO;P03 JACAREZINHO;BR-369;PR;1,4;Jacarezinho;Crescente/Decrescente;Ativo;-23,003888;-49,909722;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;PR;33,6;Campina Grande do Sul;Principal;Decrescente;Ativo;-25,114937;-48,849413;60;60;;
LITORAL PIONEIRO;P05 CARAMBEÍ;151;PR;304,25;Carambeí;Crescente/Decrescente;Ativo;-24,912222;-50,086388;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;PR;28,8;Campina Grande do Sul;Principal;Decrescente;Ativo;-25,110959;-48,808223;60;60;;
LITORAL PIONEIRO;P06 JAGUARIAÍVA;151;PR;223,1;Jaguariaíva;Crescente/Decrescente;Ativo;-24,319166;-49,778611;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;567,8;Barra do Turvo;Principal;Crescente;Ativo;-25,056695;-48,555453;60;60;;
LITORAL PIONEIRO;P08 JACAREZINHO AUX I;Acesso para SP-278;PR;1,653;Jacarezinho;Crescente/Decrescente;Ativo;-23,008611;-49,906388;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;559,95;Barra do Turvo;Principal;Crescente;Ativo;-25,015236;-48,509448;60;60;;
LITORAL PIONEIRO;P09 JACAREZINHO AUX II;Saída para BR-153;PR;1,698;Jacarezinho;Crescente/Decrescente;Ativo;-23,008333;-49,906388;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;550,7;Barra do Turvo;Principal;Decrescente;Ativo;-24,96714;-48,471856;60;60;;
LITORAL PIONEIRO;P02 SENGES;151;PR;187,7;Sengés;Crescente/Decrescente;Ativo;-24,123056;-49,543889;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;548,37;Barra do Turvo;Principal;Crescente;Ativo;-24,95374;-48,448019;60;60;;
LITORAL PIONEIRO;P07 QUATIGUÁ;92;PR;286,74;Siqueira Campos;Crescente/Decrescente;Ativo;-24,643739;-49,840669;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;546;Barra do Turvo;Principal;Decrescente;Ativo;-24,965893;-48,43431;60;60;;
NOVA 364;Free Flow Candeias - P01;BR-364;RO;686,9;Candeias do Jamari;Crescente/Decrescente;Ativo;-8,792398;-63,650532;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;514,7;Cajati;Principal;Decrescente;Ativo;-24,86479;-48,211446;60;60;;
NOVA 364;Free Flow Itapuã - P02;BR-364;RO;562,3;Alto Paraíso;Crescente/Decrescente;Ativo;-9,5397;-63,0767;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;511,4;Cajati;Principal;Decrescente;Ativo;-24,84545;-48,212248;60;60;;
NOVA 364;Free Flow Jarú -  P03 ;BR-364;RO;452,3;Theobroma;Crescente/Decrescente;Ativo;-10,287172;-62,670764;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;305,1;São Lourenço da Serra;Principal;Crescente;Ativo;-23,83786;-46,930824;80;60;;
NOVA 364;Free Flow Ouro Preto  - P04;BR-364;RO;399,3;Ouro Preto do Oeste;Crescente/Decrescente;Ativo;-10,6081;-62,3395;AUTOPISTA REGIS BITTENCOURT;Controlador;BR-116;SP;299,8;São Lourenço da Serra;Principal;Crescente;Ativo;-23,793677;-46,91533;60;60;;
NOVA 364;Free Flow Pres. Médici - P05;BR-364;RO;272,4;Cacoal;Crescente/Decrescente;Ativo;-11,384193;-61,73566;CONCEBRA;Controlador;BR-60;DF;8,54;Brasília;Principal;Crescente;Ativo;-15,905098;-48,137158;80;80;;
NOVA 364;Free Flow Pimenta Bueno1 - P06;BR-364;RO;221,3;Pimenta Bueno;Crescente/Decrescente;Ativo;-11,527534;-61,333997;CONCEBRA;Controlador;BR-60;DF;3,3;Brasília;Principal;Decrescente;Ativo;-15,890481;-48,086677;60;60;;
NOVA 364;Free Flow Pimenta Bueno2 - P07;BR-364;RO;122,2;Pimenta Bueno;Crescente/Decrescente;Ativo;-12,110803;-60,746925;CONCEBRA;Redutor;BR-60;GO;91,25;Anápolis;Principal;Crescente;Ativo;-16,347739;-48,908274;40;40;;
NOVA 381;Free Flow Caeté - P01;BR-381;MG;411,85;Caeté;Crescente/Decrescente;Ativo;-19,743897;-43,615283;CONCEBRA;Redutor;BR-60;GO;101,2;Anápolis;Principal;Crescente;Ativo;-16,402323;-48,976167;60;60;;
NOVA 381;Free Flow João Monlevade - P02;BR-381;MG;342,27;João Monlevade;Crescente/Decrescente;Ativo;-19,853947;-43,132689;CONCEBRA;Controlador;BR-153;GO;498;Goiânia;Principal;Decrescente;Ativo;-16,686646;-49,233367;80;80;;
NOVA 381;Free Flow Jaguaraçú - P03;BR-381;MG;280,15;Jaguaraçu;Crescente/Decrescente;Ativo;-19,609967;-42,766233;CONCEBRA;Controlador;BR-153;GO;499,9;Goiânia;Principal;Crescente;Ativo;-16,702105;-49,231262;80;80;;
NOVA 381;Free Flow Belo Oriente - P04;BR-381;MG;227,5;Belo Oriente;Crescente/Decrescente;Ativo;-19,348242;-42,433175;CONCEBRA;Controlador;BR-153;GO;501,98;Goiânia;Principal;Decrescente;Ativo;-16,718874;-49,237961;80;80;;
NOVA 381;Free Flow Governador Valadares - P05;BR-381;MG;176,55;Governador Valadares;Crescente/Decrescente;Ativo;-19,028744;-42,147708;CONCEBRA;Controlador;BR-153;GO;504;Aparecida de Goiânia;Principal;Crescente;Ativo;-16,736838;-49,242949;80;80;;
PANTANAL;P1-Mundo Novo;BR-163;MS;28,2;Mundo Novo;Crescente/Decrescente;Ativo;-23,865169;-54,329788;CONCEBRA;Redutor;BR-153;GO;507,81;Aparecida de Goiânia;Principal;Decrescente;Ativo;-16,768585;-49,239288;80;80;;
PANTANAL;P2-Itaquirai;BR-163;MS;113;Itaquiraí;Crescente/Decrescente;Ativo;-23,167432;-54,19897;CONCEBRA;Redutor;BR-153;MG;1,432;Araporã;Principal;Decrescente;Ativo;-18,424617;-49,192556;60;60;;
PANTANAL;P3-Caarapó;BR-163;MS;228,2;Caarapó;Crescente/Decrescente;Ativo;-22,476042;-54,860799;CONCEBRA;Redutor;BR-153;MG;107,8;Prata;Principal;Crescente;Ativo;-19,297202;-48,907709;60;60;;
PANTANAL;P4-Rio Brilhante;BR-163;MS;313,5;Rio Brilhante;Crescente/Decrescente;Ativo;-21,865146;-54,528504;CONCEBRA;Redutor;BR-153;MG;107,845;Prata;Principal;Decrescente;Ativo;-19,297922;-48,9075;60;60;;
PANTANAL;P5-Campo Grande;BR-163;MS;431,8;Campo Grande;Crescente/Decrescente;Ativo;-20,882783;-54,504644;CONCEBRA;Redutor;BR-153;MG;17,95;Centralina;Principal;Decrescente;Ativo;-18,577498;-49,193408;60;60;;
PANTANAL;P6-Jaraguari;BR-163;MS;533,8;Jaraguari;Crescente/Decrescente;Ativo;-20,04;-54,41;CONCEBRA;Controlador;BR-153;MG;45,8;Canápolis;Principal;Crescente;Ativo;-18,784187;-49,081987;80;80;;
PANTANAL;P7-São Gabriel;BR-163;MS;605;São Gabriel do Oeste;Crescente/Decrescente;Ativo;-19,473376;-54,496991;CONCER;Controlador;BR-40;MG;781;Juiz de Fora;Principal;Crescente;Ativo;-21,704476;-43,451743;70;70;;
PANTANAL;P8-Rio Verde;BR-163;MS;704,3;Rio Verde de Mato Grosso;Crescente/Decrescente;Ativo;-18,722782;-54,814951;CONCER;Controlador;BR-40;MG;781;Juiz de Fora;Principal;Decrescente;Ativo;-21,705447;-43,450948;70;70;;
PANTANAL;P9-Sonora;BR-163;MS;819,2;Sonora;Crescente/Decrescente;Ativo;-17,766671;-54,750815;CONCER;Controlador;BR-40;MG;784,6;Juiz de Fora;Principal;Decrescente;Ativo;-21,732482;-43,43931;70;70;;
PRVIAS;P01 SERTANEJA;323;PR;2,97;Sertaneja;Crescente/Decrescente;Ativo;-22,915601;-50,817212;CONCER;Controlador;BR-40;MG;815,8;Simão Pereira;Principal;Decrescente;Ativo;-21,923099;-43,320567;70;70;;
PRVIAS;P03 ORTIGUEIRA;BR-376;PR;316,35;Ortigueira;Crescente/Decrescente;Ativo;-24,034399;-51,089008;CONCER;Controlador;BR-40;MG;815,2;Simão Pereira;Principal;Crescente;Ativo;-21,918528;-43,322804;70;70;;
PRVIAS;P04 IMBAÚ;BR-376;PR;370,95;Ortigueira;Crescente/Decrescente;Ativo;-24,382178;-50,790301;CONCER;Controlador;BR-40;RJ;80,16;Petrópolis;Principal;Decrescente;Ativo;-22,519988;-43,228025;70;70;;
PRVIAS;P05 TIBAGI;BR-376;PR;448,55;Tibagi;Crescente/Decrescente;Ativo;-24,923695;-50,409044;CONCER;Controlador;BR-40;RJ;97,11;Duque de Caxias;Principal;Decrescente;Ativo;-22,583707;-43,261083;50;50;;
PRVIAS;P06 WITMARSUM;BR-376;PR;529,85;Palmeira;Crescente/Decrescente;Ativo;-25,346974;-49,843065;CONCER;Controlador;BR-40;RJ;80;Petrópolis;Principal;Crescente;Ativo;-22,498044;-43,228858;70;70;;
RIOSP;Free Flow PPF001 Sul - PFS001 Sul;BR-116;SP;206;Guarulhos;Crescente;Ativo;-23,417379;-46,37647;CONCER;Controlador;BR-40;RJ;86,8;Petrópolis;Principal;Crescente;Ativo;-22,542299;-43,233504;70;70;;
RIOSP;Free Flow PPF001 Sul - PFS002 Sul;BR-116;SP;206;Guarulhos;Crescente;Ativo;-23,417379;-46,37647;CONCER;Controlador;BR-40;RJ;64,7;Petrópolis;Principal;Crescente;Ativo;-22,427058;-43,158645;70;70;;
RIOSP;Free Flow PPF001 Sul - PFS003 Sul;BR-116;SP;206;Guarulhos;Crescente;Ativo;-23,417379;-46,37647;CONCER;Controlador;BR-40;RJ;105,9;Duque de Caxias;Principal;Decrescente;Ativo;-22,646195;-43,283664;90;90;;
RIOSP;Free Flow PPF001 Sul - PFS004 Sul;BR-116;SP;206;Guarulhos;Crescente;Ativo;-23,417379;-46,37647;CONCER;Controlador;BR-40;RJ;83,7;Petrópolis;Principal;Crescente;Ativo;-22,521737;-43,235255;70;70;;
RIOSP;Free Flow PPF001 Sul - PFS005 Sul;BR-116;SP;206;Guarulhos;Crescente;Ativo;-23,417379;-46,37647;CONCER;Controlador;BR-40;RJ;74,6;Petrópolis;Principal;Decrescente;Ativo;-22,479247;-43,217286;70;70;;
RIOSP;Free Flow PFE001 - PFS001 Sul;BR-116;SP;211,7;Guarulhos;Crescente;Ativo;-23,43512;-46,426737;CONCER;Controlador;BR-40;RJ;72,5;Petrópolis;Principal;Crescente;Ativo;-22,46162;-43,222137;70;70;;
RIOSP;Free Flow PFE001 - PFS002 Sul;BR-116;SP;211,7;Guarulhos;Crescente;Ativo;-23,43512;-46,426737;CONCER;Controlador;BR-40;RJ;65;Petrópolis;Principal;Decrescente;Ativo;-22,428082;-43,16175;70;70;;
RIOSP;Free Flow PFE001 - PFS003 Sul;BR-116;SP;211,7;Guarulhos;Crescente;Ativo;-23,43512;-46,426737;CONCER;Controlador;BR-40;RJ;24,9;Três Rios;Principal;Decrescente;Ativo;-22,148066;-43,158292;70;70;;
RIOSP;Free Flow PFE001 - PFS004 Sul;BR-116;SP;211,7;Guarulhos;Crescente;Ativo;-23,43512;-46,426737;CRO;Controlador;BR-163;MT;854;Sinop;Principal;Crescente/Decrescente;Ativo;-11,695381;-55,452044;60;60;;
RIOSP;Free Flow PFE001 - PFS005 Sul;BR-116;SP;211,7;Guarulhos;Crescente;Ativo;-23,43512;-46,426737;CRO;Controlador;BR-163;MT;837,2;Sinop;Principal;Decrescente;Ativo;-11,84243;-55,490409;40;40;;
RIOSP;Free Flow PFE002 - PFS002 Sul;BR-116;SP;219;Guarulhos;Crescente;Ativo;-23,463679;-46,495578;CRO;Controlador;BR-163;MT;836,4;Sinop;Principal;Crescente/Decrescente;Ativo;-11,849721;-55,492209;60;60;;
RIOSP;Free Flow PFE002 - PFS003 Sul;BR-116;SP;219;Guarulhos;Crescente;Ativo;-23,463679;-46,495578;CRO;Controlador;BR-163;MT;831;Sinop;Principal;Crescente/Decrescente;Ativo;-11,897853;-55,504829;60;60;;
RIOSP;Free Flow PFE002 - PFS004 Sul;BR-116;SP;219;Guarulhos;Crescente;Ativo;-23,463679;-46,495578;CRO;Controlador;BR-163;MT;824;Sinop;Principal;Decrescente;Ativo;-11,958226;-55,517092;60;60;;
RIOSP;Free Flow PFE002 - PFS005 Sul;BR-116;SP;219;Guarulhos;Crescente;Ativo;-23,463679;-46,495578;CRO;Controlador;BR-163;MT;823,6;Sinop;Principal;Crescente;Ativo;-11,962062;-55,516853;60;60;;
RIOSP;Free Flow PFE003 - PFS002 Sul;BR-116;SP;224,4;Guarulhos;Crescente;Ativo;-23,484416;-46,539191;CRO;Redutor;BR-163;MT;753,625;Sorriso;Principal;Decrescente;Ativo;-12,545302;-55,710001;50;50;;
RIOSP;Free Flow PFE003 - PFS003 Sul;BR-116;SP;224,4;Guarulhos;Crescente;Ativo;-23,484416;-46,539191;CRO;Redutor;BR-163;MT;753,6;Sorriso;Principal;Crescente;Ativo;-12,545764;-55,709854;50;50;;
RIOSP;Free Flow PFE003 - PFS004 Sul;BR-116;SP;224,4;Guarulhos;Crescente;Ativo;-23,484416;-46,539191;CRO;Redutor;BR-163;MT;753,1;Sorriso;Principal;Decrescente;Ativo;-12,54926;-55,712584;50;50;;
RIOSP;Free Flow PFE003 - PFS005 Sul;BR-116;SP;224,4;Guarulhos;Crescente;Ativo;-23,484416;-46,539191;CRO;Controlador;BR-163;MT;835,3;Sinop;Principal;Crescente/Decrescente;Ativo;-11,860489;-55,495108;60;60;;
RIOSP;Free Flow PFE004 - PFS003 Sul;BR-116;SP;227;São Paulo;Crescente;Ativo;-23,497507;-46,560039;CRO;Controlador;BR-364;MT;207,54;Rondonópolis;Principal;Crescente;Ativo;-16,436026;-54,683081;60;60;;
RIOSP;Free Flow PFE004 - PFS004 Sul;BR-116;SP;227;São Paulo;Crescente;Ativo;-23,497507;-46,560039;CRO;Controlador;BR-163;MT;836;Sinop;Principal;Crescente;Ativo;-11,85115;-55,492633;60;60;;
RIOSP;Free Flow PFE004 - PFS005 Sul;BR-116;SP;227;São Paulo;Crescente;Ativo;-23,497507;-46,560039;CRO;Redutor;BR-163;MT;752,73;Sorriso;Principal;Crescente;Ativo;-12,552292;-55,714197;50;50;;
RIOSP;Free Flow PFE005 - BAIRRO Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Controlador;BR-163;MT;109,72;Rondonópolis;Principal;Decrescente;Ativo;-16,57452;-54,6853;80;80;;
RIOSP;Free Flow PFE005 - PEDARD Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Redutor;BR-163;MT;786,7;Vera;Principal;Crescente/Decrescente;Ativo;-12,287022;-55,562297;40;40;;
RIOSP;Free Flow PFE005 - PEDARU Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Redutor;BR-364;MT;203,23;Rondonópolis;Principal;Decrescente;Ativo;-16,469739;-54,656214;40;40;;
RIOSP;Free Flow PFE005 - PFS006 Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Controlador;BR-163;MT;17,2;Itiquira;Principal;Decrescente;Ativo;-17,366535;-54,75677;80;80;;
RIOSP;Free Flow PFE005 - PFS007 Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Controlador;BR-163;MT;16,5;Itiquira;Principal;Crescente;Ativo;-17,373189;-54,756445;80;80;;
RIOSP;Free Flow PFE005 - PFS008 Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Controlador;BR-163;MT;15,35;Itiquira;Principal;Decrescente;Ativo;-17,383148;-54,757556;80;80;;
RIOSP;Free Flow PFE005 - PFS009 Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Redutor;BR-364;MT;206,34;Rondonópolis;Principal;Decrescente;Ativo;-16,445539;-54,669254;40;40;;
RIOSP;Free Flow PFE005 - PFS010 Norte;BR-116;SP;231,3;São Paulo;Decrescente;Ativo;-23,526095;-46,588329;CRO;Redutor;BR-364;MT;348,65;Santo Antônio de Leverger;Principal;Crescente;Ativo;-15,793378;-55,571656;50;50;;
RIOSP;Free Flow PFE006 - BAIRRO Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Redutor;BR-364;MT;347,488;Campo Verde;Principal;Crescente;Ativo;-15,796117;-55,561033;50;50;;
RIOSP;Free Flow PFE006 - PEDARD Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Redutor;BR-364;MT;349,47;Santo Antônio de Leverger;Principal;Crescente;Ativo;-15,792933;-55,579288;50;50;;
RIOSP;Free Flow PFE006 - PEDARU Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Redutor;BR-364;MT;346,5;Campo Verde;Principal;Crescente;Ativo;-15,796013;-55,554869;50;50;;
RIOSP;Free Flow PFE006 - PFS006 Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Controlador;BR-364;MT;269;Jaciara;Principal;Decrescente;Ativo;-15,972171;-54,93955;60;60;;
RIOSP;Free Flow PFE006 - PFS007 Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Controlador;BR-364;MT;269;Jaciara;Principal;Crescente;Ativo;-15,972171;-54,93955;60;60;;
RIOSP;Free Flow PFE006 - PFS008 Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Controlador;BR-163;MT;834,3;Sinop;Principal;Crescente;Ativo;-11,868907;-55,497154;60;60;;
RIOSP;Free Flow PFE006 - PFS009 Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Controlador;BR-163;MT;832,4;Sinop;Principal;Crescente;Ativo;-11,884887;-55,501339;60;60;;
RIOSP;Free Flow PFE006 - PFS010 Norte;BR-116;SP;228,85;São Paulo;Decrescente;Ativo;-23,50926;-46,572718;CRO;Controlador;BR-70;MT;523,3;Várzea Grande;Principal;Crescente/Decrescente;Ativo;-15,654771;-56,191106;60;60;;
RIOSP;Free Flow PFE007 - BAIRRO Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Redutor;BR-163;MT;751,55;Sorriso;Principal;Crescente/Decrescente;Ativo;-12,560517;-55,719497;50;50;;
RIOSP;Free Flow PFE007 - PEDARD Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Controlador;BR-163;MT;746,1;Sorriso;Principal;Crescente;Ativo;-12,601219;-55,749739;60;60;;
RIOSP;Free Flow PFE007 - PEDARU Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Redutor;BR-163;MT;714,38;Sorriso;Principal;Decrescente;Ativo;-12,859497;-55,832187;40;40;;
RIOSP;Free Flow PFE007 - PFS008 Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Redutor;BR-163;MT;714;Sorriso;Principal;Crescente;Ativo;-12,862742;-55,833343;40;40;;
RIOSP;Free Flow PFE007 - PFS009 Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Controlador;BR-163;MT;690,85;Lucas do Rio Verde;Principal;Crescente/Decrescente;Ativo;-13,055465;-55,912815;60;60;;
RIOSP;Free Flow PFE007 - PFS010 Norte;BR-116;SP;223,35;Guarulhos;Decrescente;Ativo;-23,479177;-46,530417;CRO;Redutor;BR-163;MT;688,96;Lucas do Rio Verde;Principal;Decrescente;Ativo;-13,06756;-55,925153;50;50;;
RIOSP;Free Flow PFE008 - BAIRRO Norte;BR-116;SP;214,1;Guarulhos;Decrescente;Ativo;-23,44491;-46,449184;CRO;Redutor;BR-163;MT;688,5;Lucas do Rio Verde;Principal;Crescente;Ativo;-13,06756;-55,925153;50;50;;
RIOSP;Free Flow PFE008 - PEDARD Norte;BR-116;SP;214,1;Guarulhos;Decrescente;Ativo;-23,44491;-46,449184;CRO;Controlador;BR-163;MT;686,2;Lucas do Rio Verde;Principal;Crescente/Decrescente;Ativo;-13,085958;-55,942035;60;60;;
RIOSP;Free Flow PFE008 - PEDARU Norte;BR-116;SP;214,1;Guarulhos;Decrescente;Ativo;-23,44491;-46,449184;CRO;Redutor;BR-70;MT;522,1;Várzea Grande;Principal;Decrescente;Ativo;-15,663936;-56,184613;40;40;;
RIOSP;Free Flow PFE008 - PFS010 Norte;BR-116;SP;214,1;Guarulhos;Decrescente;Ativo;-23,44491;-46,449184;CRO;Redutor;BR-70;MT;522,035;Várzea Grande;Principal;Crescente;Ativo;-15,664013;-56,184515;40;40;;
RIOSP;Free Flow PFE009 - BAIRRO Norte;BR-116;SP;210,2;Guarulhos;Decrescente;Ativo;-23,429571;-46,412718;CRO;Controlador;BR-364;MT;277,6;Jaciara;Principal;Decrescente;Ativo;-15,948487;-55,004495;60;60;;
