concessionaria_ped;praca_de_pedagio;rodovia_ped;uf_ped;km_m_ped;municipio_ped;sentido_ped;situacao_ped;latitude_ped;longitude_ped;concessionaria_rad;tipo_de_radar;rodovia_rad;uf_rad;km_m_rad;municipio;tipo_pista;sentido_rad;situacao_rad;latitude_rad;longitude_rad;velocidade_leve;velocidade_pesado;UF_rod;extencao_km_federal
AUTOPISTA LITORAL SUL;P5;BR-101;SC;242,8;Palhoça;Crescente/Decrescente;Ativo;-27,885105;-48,647677;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;533,7;Itatiaiuçu;Principal;Decrescente;Ativo;-20,176147;-44,375864;80;60;RN;1883
AUTOPISTA PLANALTO SUL;CORREIA PINTO;BR-116;SC;233,16;Correia Pinto;Crescente/Decrescente;Ativo;-27,010584;-50,374335;AUTOPISTA FERNÃO DIAS;Controlador;BR-381;MG;849,3;Pouso Alegre;Principal;Decrescente;Ativo;-22,233475;-45,876764;80;60;RS;8813
AUTOPISTA PLANALTO SUL;FAZENDA RIO GRANDE;BR-116;PR;134,4;Fazenda Rio Grande;Crescente/Decrescente;Ativo;-25,713458;-49,318037;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;316,4;São Gonçalo;Principal;Crescente;Ativo;-22,830783;-43,093638;100;80;RO;1901
AUTOPISTA PLANALTO SUL;MONTE CASTELO;BR-116;SC;81,6;Monte Castelo;Crescente/Decrescente;Ativo;-26,570363;-50,221795;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;314,4;São Gonçalo;Principal;Crescente;Ativo;-22,817695;-43,079165;100;80;RR;1159
AUTOPISTA PLANALTO SUL;RIO NEGRO;BR-116;PR;204,1;Rio Negro;Crescente/Decrescente;Ativo;-26,07058;-49,739911;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;313;São Gonçalo;Principal;Decrescente;Ativo;-22,809907;-43,068761;100;80;SC;3554
AUTOPISTA PLANALTO SUL;SANTA CECÍLIA;BR-116;SC;152;Santa Cecília;Crescente/Decrescente;Ativo;-27,010584;-50,428716;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;298,65;Itaboraí;Principal;Decrescente;Ativo;-22,773498;-42,935548;100;80;SP;10970
AUTOPISTA REGIS BITTENCOURT;São Lourenço da Serra;BR-116;SP;298,8;São Lourenço da Serra;Crescente/Decrescente;Ativo;-23,787647;-46,913922;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;298,3;Itaboraí;Principal;Crescente;Ativo;-22,772149;-42,933291;100;80;SE;653
AUTOPISTA REGIS BITTENCOURT;Miracatu;BR-116;SP;370,4;Miracatu;Crescente/Decrescente;Ativo;-24,157869;-47,32628;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;293,7;Itaboraí;Principal;Decrescente;Ativo;-22,755202;-42,890633;60;60;TO;3579
AUTOPISTA REGIS BITTENCOURT;Juquiá;BR-116;SP;426,6;Juquiá;Crescente/Decrescente;Ativo;-24,389325;-47,722391;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;293,5;Itaboraí;Principal;Crescente;Ativo;-22,755539;-42,888149;60;60;;
AUTOPISTA REGIS BITTENCOURT;Cajati;BR-116;SP;485,7;Cajati;Crescente/Decrescente;Ativo;-24,722483;-48,08258;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;283,31;Itaboraí;Principal;Decrescente;Ativo;-22,738801;-42,806988;60;60;;
AUTOPISTA REGIS BITTENCOURT;Barra do Turvo;BR-116;SP;542,9;Barra do Turvo;Crescente/Decrescente;Ativo;-24,964044;-48,412;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;282,56;Itaboraí;Principal;Crescente;Ativo;-22,735698;-42,801862;60;60;;
AUTOPISTA REGIS BITTENCOURT;Campina Grande do Sul;BR-116;PR;57,1;Campina Grande do Sul;Crescente/Decrescente;Ativo;-25,289252;-48,933841;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;184,6;Casimiro de Abreu;Principal;Crescente;Ativo;-22,429729;-42,031134;80;80;;
CONCEBRA;P1 ALEXÂNIA;BR-60;GO;43,1;Alexânia;Crescente/Decrescente;Ativo;-16,115707;-48,58924;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;55,52;Campos dos Goytacazes;Principal;Decrescente;Ativo;-21,68329;-41,31089;60;60;;
CONCEBRA;P10 PERDIZES;BR-262;MG;736,9;Perdizes;Crescente/Decrescente;Ativo;-19,617614;-47,346547;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;55,389;Campos dos Goytacazes;Principal;Crescente;Ativo;-21,681822;-41,310949;60;60;;
CONCEBRA;P11 CAMPO FLORIDO;BR-262;MG;863,5;Conceição das Alagoas;Crescente/Decrescente;Ativo;-19,776951;-48,458219;AUTOPISTA FLUMINENSE;Controlador;BR-101;RJ;58,805;Campos dos Goytacazes;Principal;Decrescente;Ativo;-21,713412;-41,308561;60;60;;
CONCEBRA;P2 GOIANÁPOLIS;BR-60;GO;107,9;Goianápolis;Crescente/Decrescente;Ativo;-16,438631;-49,019137;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;215,05;Palhoça;Marginal;Crescente;Ativo;-27,651111;-48,675542;60;60;;
CONCEBRA;P3 PROF JAMIL;BR-153;GO;553,1;Piracanjuba;Crescente/Decrescente;Ativo;-17,16318;-49,212582;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;213,85;Palhoça;Marginal;Decrescente;Ativo;-27,643475;-48,669875;60;60;;
CONCEBRA;P4 ITUMBIARA;BR-153;GO;685,8;Itumbiara;Crescente/Decrescente;Ativo;-18,268544;-49,245811;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;213,66;Palhoça;Marginal;Crescente;Ativo;-27,642081;-48,668847;60;60;;
CONCEBRA;P5 PRATA;BR-153;MG;127,9;Prata;Crescente/Decrescente;Ativo;-19,471586;-48,871046;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;213,29;Palhoça;Marginal;Crescente;Ativo;-27,639242;-48,66675;40;40;;
CONCEBRA;P6 FRONTEIRA;BR-153;MG;227,9;Fronteira;Crescente/Decrescente;Ativo;-20,142521;-49,110488;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;212,35;Palhoça;Marginal;Decrescente;Ativo;-27,632314;-48,661422;40;40;;
CONCEBRA;P7 FLORESTAL;BR-262;MG;389,4;Florestal;Crescente/Decrescente;Ativo;-19,909615;-44,506725;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;212,3;Palhoça;Marginal;Crescente;Ativo;-27,632003;-48,661075;40;40;;
CONCEBRA;P8 LUZ;BR-262;MG;512,85;Luz;Crescente/Decrescente;Ativo;-19,788259;-45,58463;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;210,7;São José;Marginal;Decrescente;Ativo;-27,621294;-48,650333;60;60;;
CONCEBRA;P9 CAMPOS ALTOS;BR-262;MG;600,8;Campos Altos;Crescente/Decrescente;Ativo;-19,647341;-46,240088;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;209,9;São José;Marginal;Decrescente;Ativo;-27,616022;-48,644975;60;60;;
CONCER;P1;BR-40;RJ;102;Duque de Caxias;Crescente/Decrescente;Ativo;-22,609965;-43,285552;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;209,15;São José;Marginal;Crescente;Ativo;-27,610039;-48,638892;60;60;;
CONCER;P2;BR-40;RJ;45,5;Areal;Crescente/Decrescente;Ativo;-22,284389;-43,120269;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;204,77;São José;Marginal;Decrescente;Ativo;-27,580619;-48,614444;40;40;;
CONCER;P3;BR-40;MG;816,7;Simão Pereira;Crescente/Decrescente;Ativo;-21,928252;-43,316282;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;204,75;São José;Marginal;Crescente;Ativo;-27,580361;-48,614436;40;40;;
CRO;P1;BR-163;MT;33,6;Itiquira;Crescente/Decrescente;Ativo;-17,219391;-54,758685;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;204,25;São José;Marginal;Decrescente;Ativo;-27,576306;-48,613381;60;60;;
CRO;P2;BR-364;MT;214,4;Rondonópolis;Crescente/Decrescente;Ativo;-16,393565;-54,714281;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;203,85;São José;Marginal;Crescente;Ativo;-27,572569;-48,613778;60;60;;
CRO;P4;BR-364;MT;383,1;Cuiabá;Crescente/Decrescente;Ativo;-15,702041;-55,829527;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;198,8;São José;Marginal;Crescente;Ativo;-27,558233;-48,61835;60;60;;
CRO;P5;BR-364;MT;479,1;Jangada;Crescente/Decrescente;Ativo;-15,349875;-56,415628;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;196,15;Biguaçu;Marginal;Decrescente;Ativo;-27,532914;-48,630986;40;40;;
CRO;P6;BR-364;MT;579,1;Nobres;Crescente/Decrescente;Ativo;-14,599728;-56,240858;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;196,05;Biguaçu;Marginal;Crescente;Ativo;-27,512006;-48,642081;40;40;;
CRO;P7;BR-163;MT;586,9;Nova Mutum;Crescente/Decrescente;Ativo;-13,91952;-56,093419;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;116,5;Itajaí;Marginal;Decrescente;Ativo;-27,511425;-48,642764;40;40;;
CRO;P8;BR-163;MT;664,45;Lucas do Rio Verde;Crescente/Decrescente;Ativo;-13,26599;-56,022777;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;114,9;Itajaí;Marginal;Decrescente;Ativo;-26,883453;-48,724089;40;40;;
CRO;P9;BR-163;MT;766,7;Sorriso;Crescente/Decrescente;Ativo;-12,441635;-55,653798;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;114,8;Itajaí;Marginal;Crescente;Ativo;-26,869883;-48,729797;40;40;;
